subj_id,latency,condition_str
EW1_,341.0,AD
EW1_,270.0,ND
EW1_,365.0,SD
EW1_,256.0,AD
EW1_,345.0,ND
EW1_,319.0,SD
EW1_,165.0,AD
EW1_,331.0,ND
EW1_,286.0,SD
EW1_,340.0,AD
EW1_,325.0,ND
EW1_,304.0,SD
EW1_,357.0,AD
EW1_,305.0,ND
EW1_,280.0,SD
EW1_,346.0,AD
EW1_,301.0,ND
EW1_,270.0,SD
EW1_,305.0,AD
EW1_,365.0,ND
EW1_,399.0,SD
EW1_,395.0,AD
EW1_,370.0,ND
EW1_,315.0,SD
EW1_,375.0,AD
EW1_,280.0,ND
EW1_,309.0,SD
EW1_,435.0,AD
EW1_,280.0,ND
EW1_,351.0,SD
EW1_,335.0,AD
EW1_,351.0,ND
EW1_,311.0,SD
EW1_,290.0,AD
EW1_,291.0,ND
EW1_,319.0,SD
EW1_,346.0,AD
EW1_,310.0,ND
EW1_,345.0,SD
EW1_,229.0,AD
EW1_,290.0,ND
EW1_,319.0,SD
EW1_,305.0,AD
EW1_,280.0,ND
EW1_,310.0,SD
EW1_,275.0,AD
EW1_,285.0,ND
EW1_,310.0,SD
EW1_,310.0,AD
EW1_,336.0,ND
EW1_,310.0,SD
EW1_,270.0,AD
EW1_,271.0,ND
EW1_,328.0,SD
EW1_,300.0,AD
EW1_,290.0,ND
EW1_,401.0,SD
EW1_,340.0,AD
EW1_,310.0,ND
EW1_,354.0,SD
EW1_,294.0,AD
EW1_,325.0,ND
EW1_,361.0,SD
EW1_,336.0,AD
EW1_,282.0,ND
EW1_,350.0,SD
EW1_,391.0,AD
EW1_,240.0,ND
EW1_,320.0,SD
EW1_,325.0,AD
IB,246.0,ND
IB,351.0,SD
IB,406.0,AD
IB,300.0,ND
IB,311.0,SD
IB,321.0,AD
IB,325.0,ND
IB,280.0,SD
IB,290.0,AD
IB,316.0,ND
IB,365.0,SD
IB,319.0,AD
IB,256.0,ND
IB,309.0,SD
IB,274.0,AD
IB,295.0,ND
IB,291.0,SD
IB,285.0,AD
IB,340.0,ND
IB,286.0,SD
IB,285.0,AD
IB,289.0,ND
IB,311.0,SD
IB,316.0,AD
IB,265.0,ND
IB,280.0,SD
IB,325.0,AD
IB,300.0,ND
IB,356.0,SD
IB,289.0,AD
IB,312.0,ND
IB,334.0,SD
IB,290.0,AD
IB,400.0,ND
IB,270.0,SD
IB,319.0,AD
IB,350.0,ND
IB,270.0,SD
IB,285.0,AD
IB,320.0,ND
IB,295.0,SD
IB,320.0,AD
IB,301.0,ND
IB,310.0,SD
IB,269.0,AD
IB,364.0,ND
IB,354.0,SD
IB,271.0,AD
IB,296.0,ND
IB,319.0,SD
IB,310.0,AD
IB,261.0,ND
IB,286.0,SD
IB,325.0,AD
IB,314.0,ND
IB,306.0,SD
IB,235.0,AD
IB,330.0,ND
IB,315.0,SD
IB,290.0,AD
IB,326.0,ND
IB,296.0,SD
IB,386.0,AD
IB,300.0,ND
IB,315.0,SD
IB,305.0,AD
IB,284.0,ND
IB,296.0,SD
IB,285.0,AD
